,版標流水號,貼標開始,貼標結束,是否結束,花費時間,貼標人數(人),貼標ID,operator
158,TTWK000542770,2022/5/20 13:10:58,2022/5/20 13:12:13,TRUE,1.251833333,1,42532,42532
159,TTWK000559841,2022/5/20 13:12:35,2022/5/20 13:13:58,TRUE,1.3971,1,42532,42532
160,TTWK000559847,2022/5/20 13:12:45,2022/5/20 13:14:37,TRUE,1.8555,1,42550,42550
161,TTWK000559845,2022/5/20 13:15:00,2022/5/20 13:15:32,TRUE,0.5302333333,1,42550,42550
162,TTWK000542729,2022/5/20 13:15:10,2022/5/20 13:15:54,TRUE,0.7261833333,1,42532,42532
163,TTWK000559844,2022/5/20 13:15:42,2022/5/20 13:16:10,TRUE,0.4604833333,1,42550,42550
164,TTWK000542755,2022/5/20 13:16:10,2022/5/20 13:16:48,TRUE,0.6315666667,1,42532,42532
165,TTWK000559843,2022/5/20 13:16:36,2022/5/20 13:17:20,TRUE,0.7338666667,1,42550,42550
166,TTWK000542774,2022/5/20 13:17:01,2022/5/20 13:17:52,TRUE,0.8492333333,1,42532,42532
167,TTWK000542777,2022/5/20 13:17:30,2022/5/20 13:19:06,TRUE,1.596033333,1,42550,42550
168,TTWK000559834,2022/5/20 13:18:07,2022/5/20 13:19:48,TRUE,1.689933333,1,42532,42532
169,TTWK000559842,2022/5/20 13:19:22,2022/5/20 13:19:54,TRUE,0.5297833333,1,42550,42550
170,TTWK000542776,2022/5/20 13:20:09,2022/5/20 13:20:47,TRUE,0.6285833333,1,42550,42550
171,TTWK000542838,2022/5/20 13:20:12,2022/5/20 13:21:08,TRUE,0.9331,1,42532,42532
172,TTWK000542773,2022/5/20 13:20:58,2022/5/20 13:21:31,TRUE,0.5516,1,42550,42550
173,TTWK000559888,2022/5/20 13:21:34,2022/5/20 13:23:36,TRUE,2.021933333,1,42532,42532
174,TTWK000542775,2022/5/20 13:21:44,2022/5/20 13:22:21,TRUE,0.6156,1,42550,42550
175,TTWK000542786,2022/5/20 13:22:59,2022/5/20 13:24:23,TRUE,1.4027,1,42550,42550
176,TTWK000559851,2022/5/20 13:24:05,2022/5/20 13:25:04,TRUE,0.9774166667,1,42532,42532
177,TTWK000542787,2022/5/20 13:24:37,2022/5/20 13:25:29,TRUE,0.8659833333,1,42550,42550
178,TTWK000542782,2022/5/20 13:25:13,2022/5/20 13:26:20,TRUE,1.1147,1,42532,42532
179,TTWK000559854,2022/5/20 13:25:50,2022/5/20 13:29:07,TRUE,3.288116667,1,42550,42550
180,TTWK000559850,2022/5/20 13:26:45,2022/5/20 13:28:40,TRUE,1.916166667,1,42532,42532
181,TTWK000542783,2022/5/20 13:30:02,2022/5/20 13:30:53,TRUE,0.8499833333,1,42550,42550
